"DINÁMICA","CARACTERIZ","MODALIDAD","DÍA_SEMAN","MES_DEL_HE","FRANJA_HORARIA","ZONA","ESTRATO_GRUPO"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Noche","Distrito Agua Blanca","Bajo-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Mañana","Distrito Agua Blanca","Bajo"
"Hurto","HURTO A PERSONAS","ATRACO","viernes","enero","Madrugada","Nor-Oriente","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","jueves","enero","Noche","Oriente","Bajo"
"Hurto","HURTO A RESIDENCIA","ENGAÑO","viernes","enero","Tarde","Nor-Occidente","Medio-alto"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Madrugada","Distrito Agua Blanca","Bajo-bajo"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","jueves","enero","Madrugada","Distrito Agua Blanca","Bajo-bajo"
"Hurto","HURTO DE MOTOCICLETAS","HALADO","jueves","enero","Madrugada","Distrito Agua Blanca","Bajo"
"Hurto","HURTO DE MOTOCICLETAS","HALADO","miércoles","enero","Mañana","Nor-Oriente","Bajo"
"Hurto","HURTO DE MOTOCICLETAS","HALADO","jueves","enero","Noche","Sur","Bajo-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Mañana","Sur","Medio-alto"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Mañana","Distrito Agua Blanca","Medio-bajo"
"Hurto","HURTO DE VEHICULOS","HALADO","viernes","enero","Mañana","Nor-Oriente","Medio-bajo"
"Hurto","HURTO DE MOTOCICLETAS","HALADO","jueves","enero","Mañana","Oriente","Medio-bajo"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","jueves","enero","Noche","Distrito Agua Blanca","Medio-bajo"
"Hurto","HURTO DE MOTOCICLETAS","HALADO","jueves","enero","Mañana","Nor-Oriente","Bajo"
"Hurto","HURTO DE VEHICULOS","HALADO","viernes","enero","Mañana","Sur","Medio-alto"
"Hurto","HURTO A PERSONAS","COSQUILLEO","miércoles","enero","Madrugada","Distrito Agua Blanca","Bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Noche","Nor-Oriente","Bajo"
"Hurto","HURTO A PERSONAS","FACTOR DE OPORTUNIDAD","miércoles","enero","Noche","Sur","Bajo"
"Hurto","HURTO DE AUTOPARTES","VIOLACION DE CERRADURA","miércoles","enero","Madrugada","Sur","Medio"
"Hurto","HURTO DE AUTOPARTES","FACTOR DE OPORTUNIDAD","jueves","enero","Mañana","Oriente","Medio-bajo"
"Hurto","HURTO A CELULARES","COSQUILLEO","miércoles","enero","Noche","Sur","Bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Noche","Nor-Oriente","Medio-bajo"
"Hurto","HURTO DE AUTOPARTES","FACTOR DE OPORTUNIDAD","miércoles","enero","Mañana","Sur","Medio"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","viernes","enero","Noche","Distrito Agua Blanca","Bajo"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","viernes","enero","Noche","Nor-Oriente","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Noche","Sur","Medio-bajo"
"Hurto","HURTO DE VEHICULOS","HALADO","viernes","enero","Noche","Oriente","Bajo"
"Hurto","HURTO DE VEHICULOS","HALADO","sábado","enero","Madrugada","Nor-Occidente","Medio-bajo"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","viernes","enero","Noche","Nor-Oriente","Bajo"
"Hurto","HURTO A PERSONAS","ATRACO","sábado","enero","Tarde","Sur","Medio-alto"
"Hurto","HURTO  A ESTABLECIMIENTOS","FACTOR DE OPORTUNIDAD","jueves","enero","Tarde","Sur","Medio-alto"
"Hurto","HURTO  A ESTABLECIMIENTOS","VIOLACION DE CERRADURA","miércoles","enero","Madrugada","Nor-Occidente","Medio-bajo"
"Hurto","HURTO DE VEHICULOS","HALADO","viernes","enero","Mañana","Nor-Occidente","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","jueves","enero","Madrugada","Nor-Occidente","Medio-alto"
"Hurto","HURTO DE AUTOPARTES","FACTOR DE OPORTUNIDAD","miércoles","enero","Mañana","Oriente","Medio-bajo"
"Hurto","HURTO A CELULARES","ATRACO","miércoles","enero","Tarde","Nor-Occidente","Bajo"
"Hurto","HURTO DE BICICLETAS","HALADO","miércoles","enero","Noche","Sur","Medio-alto"
"Hurto","HURTO A PERSONAS","COSQUILLEO","miércoles","enero","Madrugada","Nor-Oriente","Bajo"
"Hurto","HURTO A PERSONAS","ATRACO","jueves","enero","Madrugada","Sur","Medio-alto"
"Hurto","HURTO A PERSONAS","RAPONAZO","jueves","enero","Tarde","Oriente","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Madrugada","Nor-Occidente","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","jueves","enero","Tarde","Nor-Oriente","Medio-bajo"
"Hurto","HURTO A PERSONAS","COSQUILLEO","jueves","enero","Madrugada","Sur","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","miércoles","enero","Madrugada","Nor-Occidente","Medio-bajo"
"Hurto","HURTO A CELULARES","COSQUILLEO","miércoles","enero","Mañana","Oriente","Medio-bajo"
"Hurto","HURTO A PERSONAS","COSQUILLEO","miércoles","enero","Tarde","Oriente","Bajo"
"Hurto","HURTO A PERSONAS","ATRACO","jueves","enero","Noche","Nor-Occidente","Medio-bajo"
"Hurto","HURTO A RESIDENCIA","FACTOR DE OPORTUNIDAD","sábado","enero","Noche","Oriente","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","sábado","enero","Noche","Nor-Oriente","Bajo"
"Hurto","HURTO DE VEHICULOS","HALADO","sábado","enero","Tarde","Nor-Occidente","Medio-alto"
"Hurto","HURTO  A ESTABLECIMIENTOS","ATRACO","sábado","enero","Tarde","Nor-Oriente","Medio-bajo"
"Hurto","HURTO DE MOTOCICLETAS","HALADO","sábado","enero","Tarde","Oriente","Medio-bajo"
"Hurto","HURTO DE VEHICULOS","ATRACO","viernes","enero","Noche","Sur","Medio-alto"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","jueves","enero","Noche","Nor-Oriente","Medio-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","domingo","enero","Mañana","Distrito Agua Blanca","Bajo-bajo"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","domingo","enero","Mañana","Sur","Medio"
"Hurto","HURTO  A ESTABLECIMIENTOS","FACTOR DE OPORTUNIDAD","domingo","enero","Mañana","Sur","Medio-alto"
"Hurto","HURTO A RESIDENCIA","VIOLACION DE CERRADURA","sábado","enero","Noche","Nor-Oriente","Medio-bajo"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","viernes","enero","Noche","Nor-Oriente","Medio-bajo"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","domingo","enero","Madrugada","Oriente","Medio-bajo"
"Hurto","HURTO DE MOTOCICLETAS","ATRACO","sábado","enero","Noche","Nor-Oriente","Medio-bajo"
"Hurto","HURTO DE VEHICULOS","HALADO","sábado","enero","Noche","Nor-Occidente","Bajo-bajo"
"Hurto","HURTO A PERSONAS","ATRACO","domingo","enero","Tarde","Nor-Oriente","Medio-bajo"
"Hurto","HURTO A RESIDENCIA","VIOLACION DE CERRADURA","domingo","enero","Noche","Sur","Medio-bajo"
"Hurto","HURTO A PERSONAS","RAPONAZO","sábado","enero","Noche","Distrito Agua Blanca","Bajo"
